drugID	Catalog.No.	Product.Name	Class	Targets	medianIC50..nM.	InfoFromSelleckchem	deliveredDrugPlateID	deliveredDrugPlateWell	GeneSymbolList
d88	S2163	PF-4708671	kinase	S6 Kinase	160	PF-4708671 is a cell-permeable inhibitor of p70 ribosomal S6 kinase (S6K1 isoform) with Ki/IC50 of 20 nM/160 nM, 400-fold greater selectivity for S6K1 than S6K2, and 4- and >20-fold selectivity for S6K1 than MSK1 and RSK1/2, respectively. First S6K1-specific inhibitor to be reported.	Z231330	F_4	RPS6KB1^RPS6KA1^RPS6KA5^RPS6KA3
d89	S2202	NVP-BHG712	kinase	Raf,Src,Bcr-Abl,VEGFR,Ephrin receptor	25	NVP-BHG712 is a specific EphB4 inhibitor with ED50 of 25 nM that discriminates between VEGFR and EphB4 inhibition; also shows activity against c-Raf, c-Src and c-Abl with IC50 of 0.395 μM, 1.266 μM and 1.667 μM, respectively.	Z231330	G_4	EPHB4^RAF1^SRC^ABL1
d90	S2214	AZ 960	kinase	JAK	1.5	AZ 960 is a novel ATP competitive JAK2 inhibitor with IC50 and Ki of <3 nM and 0.45 nM, 3-fold selectivity of AZ960 for JAK2 over JAK3.	Z231330	H_4	JAK2^JAK3
d91	S2216	Mubritinib (TAK 165)	kinase	HER2	6	Mubritinib (TAK-165) is a potent inhibitor of HER2/ErbB2 with IC50 of 6 nM; no activity to EGFR, FGFR, PDGFR, JAK1, Src and Blk.	Z231330	A_5	ERBB2^EGFR^FGFR1^FGFR2^FGFR3^FGFR4^PDGFRA^PDGFRB^JAK1^SRC^BLK
d92	S2218	PP242	kinase	mTOR,Autophagy	8	PP242 is a selective mTOR inhibitor with IC50 of 8 nM; targets both mTOR complexes with >10- and 100-fold selectivity for mTOR than PI3Kδ or PI3Kα/β/γ, respectively.	Z231330	B_5	MTOR^PIK3CA^PIK3CB^PIK3CG^PIK3CD
d93	S2310	Honokiol	kinase	MEK,Akt	10	Honokiol is the active principle of magnolia extract that inhibits Akt-phosphorylation and promotes ERK1/2phosphorylation. Phase 3.	Z231330	C_5	MAPK1^MAPK3^AKT1
d94	S2386	Indirubin	kinase	GSK-3	600	Indirubin is a potent cyclin-dependent kinases and GSK-3β inhibitor with IC50 of about 5 &mu;M and 0.6 &mu;M.	Z231330	D_5	GSK3A^GSK3B
d95	S2503	Racecadotril	GPCR	Opioid Receptor	4500	Racecadotril is a peripherally acting enkephalinase inhibitor with an IC50 of 4.5 μM	Z231330	E_5	ANPEP^DPP3^CPA6^LNPEP^ACE
d96	S2542	Phenformin HCl	kinase	AMPK	10	Phenformin hydrochloride is a hydrochloride salt of phenformin that is an anti-diabetic drug from the biguanide class.	Z231330	F_5	MTOR^PRKAA1^PRKAA2^PRKAB1^PRKAB2^PRKAG1^PRKAG2^PRKAG3
d97	S2670	A-674563	kinase	PKA,CDK,Akt	11	A-674563 is an Akt1 inhibitor with Ki of 11 nM, modest potent to PKA and >30-fold selective for Akt1 over PKC.	Z231330	G_5	AKT1^PRKACA^PRKACB^PRKACG^PRKAR1B^PRKAR1A^PRKAR2A^PRKAR2B
d98	S2672	PF-00562271	kinase	FAK	2	PF-00562271 is the benzenesulfonate salt of PF-562271, which is a potent, ATP-competitive, reversible inhibitor of FAK with IC50 of 1.5 nM, ~10-fold less potent for Pyk2 than FAK and >100-fold selectivity against other protein kinases, except for some CDKs. Phase 1.	Z231330	H_5	PTK2^PTK2B
d99	S2680	Ibrutinib (PCI-32765)	kinase	BTK	5.6	Ibrutinib is a potent and highly selective Btk inhibitor with IC50 of 0.5 nM, modestly potent to Bmx, CSK, FGR, BRK, HCK, less potent to EGFR, Yes, ErbB2, JAK3, etc.	Z231330	A_6	BTK^BMX^CSK^FGR^PTK6^HCK^EGFR^ERBB2^JAK3
d100	S2696	GDC-0980 (RG7422)	kinase	mTOR,PI3K	17	GDC-0980 (RG7422) is a potent, class I PI3K inhibitor for PI3Kα/β/δ/γ with IC50 of 5 nM/27 nM/7 nM/14 nM, respectively. Also a mTOR inhibitor with Ki of 17 nM, and highly selective versus others PIKK family kinases. Phase 2.	Z231330	B_6	MTOR^PIK3CA^PIK3CB^PIK3CG^PIK3CD
d101	S2697	A-769662	kinase	AMPK	800	A-769662 is a potent, reversible AMPK activator with EC50of 0.8 μM, little effect on GPPase/FBPase activity.	Z231330	C_6	PRKAA1^PRKAA2^PRKAB1^PRKAB2^PRKAG1^PRKAG2^PRKAG3
d102	S2759	CUDC-907	kinase	PI3K,HDAC	2.8	CUDC-907 is a dual PI3K and HDAC inhibitor for PI3Kα and HDAC1/2/3/10 with IC50 of 19 nM and 1.7 nM/5 nM/1.8 nM/2.8 nM, respectively. Phase 1.	Z231330	D_6	PIK3CA^HDAC1^HDAC2^HDAC3^HDAC10
d103	S2816	Tyrphostin AG 879	kinase	HER2	1000	Tyrphostin AG 879 potently inhibits HER2/ErbB2 with IC50 of 1 μM, 100- and 500-fold higher selective to ErbB2 than PDGFR and EGFR.	Z231330	E_6	ERBB2
d104	S2843	BI-D1870	kinase	S6 Kinase	21	BI-D1870 is an ATP-competitive inhibitor of S6 ribosome for RSK1/2/3/4 with IC50 of 31 nM/24 nM/18 nM/15 nM, respectively; 10- to 100-fold selectivity for RSK than MST2, GSK-3β, MARK3, CK1 and Aurora B.	Z231330	F_6	RPS6KB1^RPS6KA1^RPS6KA5^RPS6KA3^STK3^GSK3A^GSK3B^AURKB^CSNK1A1^CSNK1D^MARK3
d105	S2899	GNF-2	kinase	Bcr-Abl	14	GNF-2 is a highly selective non-ATP competitive inhibitor of Bcr-Abl, shows no activity to Flt3-ITD, Tel-PDGFR, TPR-MET and Tel-JAK1 transformed tumor cells.	Z231330	G_6	BCR^ABL1
d106	S7293	ZCL278	kinase	Rac	1000	ZCL278 is a selective Cdc42 GTPase inhibitor with Kd of 11.4 μM.	Z231330	H_6	CDC42
d107	S7327	ID-8	kinase	Others	1000	ID-8 is a DYRK inhibitor, and sustains embryonic stem cell self-renewal in long-term culture.	Z231330	A_7	DYRK1A^DYRK1B^DYRK2^DYRK3^DYRK4
d108	S8031	NSC 23766	kinase	Rac	1000	NSC 23766 is an inhibitor of Rac GTPase targeting Rac activation by guanine nucleotide exchange factors (GEFs) with IC50 of ~50 μM; does not inhibit the closely related targets, Cdc42 or RhoA.	Z231330	B_7	RHO^RAC1
